Variable,REGION,EMISSION,TECHNOLOGY,STORAGE,TIMESLICE,FUEL,SEASON,DAYTYPE,DAILYTIMEBRACKET,MODE_OF_OPERATION,REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
AccumulatedNewCapacity,Uganda,,UGBACKSTOP,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AccumulatedNewCapacity,Uganda,,UGBM00I00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AccumulatedNewCapacity,Uganda,,UGBM00X00,,,,,,,,,1.62742299307488,1.62742299307488,1.62742299307488,1.62742299307488,1.79575131184508,1.79575131184508,1.79575131184508,1.79575131184508,1.79575131184508,1.79575131184508,1.79575131184508,1.79575131184508,3.42317430491996,3.42317430491996,3.42317430491996,3.42317430491996,3.42317430491996,3.42317430491996,3.42317430491996,3.42317430491996,3.42317430491996,3.42317430491996,3.42317430491996,3.42317430491996,3.42317430491996,3.42317430491996,3.42317430491996,3.42317430491996,3.42317430491996,3.42317430491996,3.42317430491996,3.42317430491996,3.42317430491996,3.42317430491996,3.42317430491996,1.79575131184508,1.93091538908074,1.93091538908074,1.93091538908074,1.76258707031053,1.76258707031053,
AccumulatedNewCapacity,Uganda,,UGBMCHP00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AccumulatedNewCapacity,Uganda,,UGDS00I00,,,,,,,,,0,0,7.03374526902107,7.03374526902107,7.03374526902107,7.03374526902107,7.5048696308233,7.5048696308233,7.5048696308233,7.5048696308233,7.5048696308233,8.21349477464563,8.21349477464563,8.21349477464563,8.21349477464563,8.21349477464563,8.21349477464563,8.21349477464563,8.21349477464563,8.21349477464563,8.21349477464563,8.21349477464563,8.21349477464563,8.21349477464563,8.21349477464563,8.21349477464563,8.21349477464563,8.21349477464563,8.21349477464563,8.21349477464563,8.21349477464563,8.21349477464563,1.17974950562456,1.17974950562456,1.17974950562456,1.17974950562456,0.708625143822332,0.708625143822332,0.708625143822332,0.708625143822332,0.708625143822332,
AccumulatedNewCapacity,Uganda,,UGDS00X00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AccumulatedNewCapacity,Uganda,,UGDSRCFR1,,,,,,,,,0,0,0,0,0,0.000189860516813237,0.000216172900727212,0.000216172900727212,0.000216172900727263,0.000216172900727212,0.000216172900727212,0.000216172900727212,0.000216172900727212,0.000216172900727212,0.000216172900727212,0.0000263123839139752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AccumulatedNewCapacity,Uganda,,UGDSRCFU1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AccumulatedNewCapacity,Uganda,,UGDSRCP03,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AccumulatedNewCapacity,Uganda,,UGEL00EXP,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AccumulatedNewCapacity,Uganda,,UGEL00T00,,,,,,,,,0.183693012882026,0.209182659013552,0.214153876896076,0.250970085912121,0.283717330784238,0.316446640946539,0.349444348556099,0.382603632867952,0.415948724266643,0.449425743969575,0.482875088915525,0.525648344070279,0.581862790817508,0.638367476811112,0.695081137346503,0.751979024014654,0.808997901319116,0.866270328508902,0.918643746980613,0.962263024677196,1.02014166693808,1.11663893454956,1.21240671653407,1.23915150368326,1.33030535919711,1.42223866499679,1.51493718454737,1.60843607831256,1.70277535851047,1.79760283553972,1.89570708370791,2.05074270158706,2.20597094356093,2.3613583201679,2.51691044331077,2.67265416416382,2.82849414626486,2.98453031159436,3.14072561155695,3.29708565805544,3.45360128005329,
AccumulatedNewCapacity,Uganda,,UGEL00TDC,,,,,,,,,0.0200570113117164,0.0228223467583484,0.0232887888818766,0.0273201815209426,0.0308518147419425,0.0344167652574801,0.03794839847848,0.0415133489940176,0.0450782995095552,0.0486099327305551,0.0521748832460927,0.0582053135574227,0.0642690611632905,0.0703328087691582,0.0763632390804882,0.082426986686356,0.0884574169976859,0.0945211646035537,0.100584912209421,0.106615342520751,0.112679090126619,0.1223744228371,0.132069755547581,0.141731770963524,0.151427103674005,0.161122436384486,0.170817769094966,0.180513101805447,0.190208434515928,0.199870449931871,0.209565782642352,0.227590438987267,0.245615095332181,0.263639751677096,0.28166440802201,0.299689064366925,0.317713720711839,0.335738377056754,0.353763033401668,0.371787689746583,0.389812346091497,
AccumulatedNewCapacity,Uganda,,UGEL00TDI,,,,,,,,,0.116743800060223,0.132869370616486,0.135501436884968,0.158890177650457,0.179546900263853,0.200203622877249,0.220860345490644,0.24151706810404,0.262173790717435,0.282830513330831,0.303487235944227,0.338703616270612,0.373919996596998,0.409103059628846,0.444319439955232,0.479535820281617,0.514718883313465,0.549935263639851,0.585151643966237,0.620334706998085,0.65555108732447,0.711923949682318,0.768296812040165,0.82470299169255,0.881075854050398,0.937448716408245,0.993821578766092,1.05019444112394,1.10656730348179,1.16294016583963,1.21934634549202,1.32419587140227,1.42904539731252,1.53392824051731,1.63877776642756,1.74366060963235,1.8485101355426,1.95335966145286,2.05824250465764,2.1630920305679,2.26797487377269,
AccumulatedNewCapacity,Uganda,,UGEL00TDR,,,,,,,,,0.00497533103440224,0.00579009335694271,0.00668784073085305,0.00769874953844956,0.00882659182752179,0.00990359640403752,0.0112761157413173,0.0128075671438702,0.0144861284102151,0.0163268877315103,0.0181072942881728,0.0186316451545852,0.0207280084275114,0.0231154370143645,0.0257465758362016,0.0284655255058721,0.0313548441446139,0.0346704741516189,0.0376445883293119,0.0410589215462127,0.0446610083208656,0.0538783172394032,0.0637805789519625,0.0744060395536414,0.0857790374685929,0.0979134803677615,0.110795460580203,0.124491039542903,0.13897587883171,0.153968348109996,0.172100474104025,0.179120371013315,0.186296729220732,0.193629548726275,0.201122306447682,0.208771525467215,0.216577205784875,0.224542824318398,0.232664904150048,0.240946922197561,0.249381924625464,
AccumulatedNewCapacity,Uganda,,UGEL00TDU,,,,,,,,,0.0376735618781095,0.0428687288585611,0.0437288558420796,0.0512635682177015,0.0579381536098049,0.0646127390019083,0.0712873243940117,0.0779275047067744,0.0846020900988778,0.0912766754909812,0.0979512608830846,0.100752772906538,0.111218122311372,0.121683471716206,0.133071552977991,0.144425229160435,0.155778905342879,0.167132581525323,0.174041931920391,0.18453899450524,0.195004343910074,0.211780616137823,0.228525175185558,0.245301447413307,0.262077719641056,0.278853991868805,0.295630264096554,0.312374823144288,0.329151095372037,0.345927367599786,0.362703639827536,0.393877695781935,0.425083464916349,0.456257520870749,0.487463290005163,0.518669059139577,0.549843115093977,0.581048884228391,0.61222294018279,0.643428709317205,0.674602765271604,
AccumulatedNewCapacity,Uganda,,UGGOCVP00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.34900550499423,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.500000000000002,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
AccumulatedNewCapacity,Uganda,,UGHF00I00,,,,,,,,,2.83480751289655,2.83480751289655,2.88930399885503,3.5901215970547,4.27855927102613,4.27855927102613,4.27855927102613,4.27855927102613,4.27855927102613,6.70649198335146,12.3878083046261,12.3878083046261,12.3878083046261,12.3878083046261,12.3878083046261,12.3878083046261,12.3878083046261,12.3878083046261,12.3878083046261,12.3878083046261,12.3878083046261,12.3878083046261,12.3878083046261,12.3878083046261,12.3878083046261,9.55300079172958,9.55300079172958,9.4985043057711,8.79768670757143,8.1092490336,8.1092490336,8.1092490336,8.1092490336,8.1092490336,5.68131632127468,0,0,0,0,0,0,
AccumulatedNewCapacity,Uganda,,UGHF00X00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AccumulatedNewCapacity,Uganda,,UGHFGCP00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AccumulatedNewCapacity,Uganda,,UGHYDMS01,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AccumulatedNewCapacity,Uganda,,UGHYDMS02,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0141184049246791,0.410902141877691,0.410902141877691,0.410902141877691,0.484460387288127,0.484460387288127,1.07288530384534,1.07288530384534,1.07288530384534,1.07288530384534,1.07288530384534,1.07288530384534,1.07288530384534,1.07288530384534,1.07288530384534,1.10348545299984,2.15470376651162,2.23189627143531,2.23189627143531,2.23189627143531,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
AccumulatedNewCapacity,Uganda,,UGNG00I00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105107228369619,9.38793780421909,9.38793780421909,9.38793780421909,9.38793780421909,9.38793780421909,9.38793780421909,9.38793780421909,9.38793780421909,28.0296575192045,28.0296575192045,28.0296575192045,28.0296575192045,28.0296575192045,28.0296575192045,28.0296575192045,28.0296575192045,28.0296575192045,28.0296575192045,28.0296575192045,28.0296575192045,28.0296575192045,28.0296575192045,28.0296575192045,28.0296575192045,
AccumulatedNewCapacity,Uganda,,UGNG00X00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
