Variable,REGION,TECHNOLOGY,TIMESLICE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
TotalDiscountedCost,Austria,,,1,3,2,4,6,5,7,9,8,10,13
TotalDiscountedCost,Belgium,,,15,12,14,7,11,10,5,3,6,9,8
TotalDiscountedCost,Bulgaria,,,4,6,5,7,9,8,13,12,10,15,17
TotalDiscountedCost,Crotia,,,4,14,9,12,5,6,9,10,14,5,4
TotalDiscountedCost,Cyprus,,,15,16,15,17,18,19,20,13,15,25,12
TotalDiscountedCost,Czech Republic,,,1,2,3,4,5,6,7,8,9,10,11
TotalDiscountedCost,Denmark,,,8,6,9,7,11,10,15,13,12,16,14
TotalDiscountedCost,Estonia,,,10,8,9,12,11,17,16,18,20,23,21
TotalDiscountedCost,Finland,,,1,3,5,7,9,11,13,15,17,19,23
TotalDiscountedCost,France,,,2,5,8,11,14,17,20,23,26,29,32
TotalDiscountedCost,Germany,,,6,7,8,9,10,11,10,9,8,7,6
TotalDiscountedCost,Greece,,,20,19,18,17,16,15,14,13,12,11,10
TotalDiscountedCost,Hungary,,,18,15,17,13,14,15,12,9,10,7,11
TotalDiscountedCost,Ireland,,,1,3,2,4,6,5,7,9,8,10,13
TotalDiscountedCost,Italy,,,15,12,14,7,11,10,5,3,6,9,8
TotalDiscountedCost,Latvia,,,4,6,5,7,9,8,13,12,10,15,17
TotalDiscountedCost,Lithuania,,4,14,9,12,5,6,9,10,14,5,4
TotalDiscountedCost,Luxembourg,,,15,16,15,17,18,19,20,13,15,25,12
TotalDiscountedCost,Malta,,,1,2,3,4,5,6,7,8,9,10,11
TotalDiscountedCost,Netherlands,,,8,6,9,7,11,10,15,13,12,16,14
TotalDiscountedCost,Norway,,,15,12,14,7,11,10,5,3,6,9,8
TotalDiscountedCost,Poland,,,10,8,9,12,11,17,16,18,20,23,21
TotalDiscountedCost,Portugal,,,1,3,5,7,9,11,13,15,17,19,23
TotalDiscountedCost,Romania,,,2,5,8,11,14,17,20,23,26,29,32
TotalDiscountedCost,Slovakia,,,6,7,8,9,10,11,10,9,8,7,6
TotalDiscountedCost,Slovenia,,,20,19,18,17,16,15,14,13,12,11,10
TotalDiscountedCost,Spain,,,18,15,17,13,14,15,12,9,10,7,11
TotalDiscountedCost,Sweden,,,1,3,2,4,6,5,7,9,8,10,13
TotalDiscountedCost,Switzerland,,,2,5,8,11,14,17,20,23,26,29,32
TotalDiscountedCost,United Kingdom,,,15,12,14,7,11,10,5,3,6,9,8
TotalTechnologyAnnualActivity,Austria,Coal,,4,6,5,7,9,8,13,12,10,15,17
TotalTechnologyAnnualActivity,Austria,Hydro,,4,14,9,12,5,6,9,10,14,5,4
TotalTechnologyAnnualActivity,Austria,Oil,,15,16,15,17,18,19,20,13,15,25,12
TotalTechnologyAnnualActivity,Belgium,Coal,,1,2,3,4,5,6,7,8,9,10,11
TotalTechnologyAnnualActivity,Belgium,Hydro,,8,6,9,7,11,10,15,13,12,16,14
TotalTechnologyAnnualActivity,Belgium,Oil,,10,8,9,12,11,17,16,18,20,23,21
TotalTechnologyAnnualActivity,Bulgaria,Coal,,1,3,5,7,9,11,13,15,17,19,23
TotalTechnologyAnnualActivity,Bulgaria,Hydro,,2,5,8,11,14,17,20,23,26,29,32
TotalTechnologyAnnualActivity,Bulgaria,Oil,,6,7,8,9,10,11,10,9,8,7,6
TotalTechnologyAnnualActivity,Crotia,Coal,,20,19,18,17,16,15,14,13,12,11,10
TotalTechnologyAnnualActivity,Crotia,Hydro,,18,15,17,13,14,15,12,9,10,7,11
TotalTechnologyAnnualActivity,Crotia,Oil,,1,3,2,4,6,5,7,9,8,10,13
TotalTechnologyAnnualActivity,Cyprus,Coal,,15,12,14,7,11,10,5,3,6,9,8
TotalTechnologyAnnualActivity,Cyprus,Hydro,,4,6,5,7,9,8,13,12,10,15,17
TotalTechnologyAnnualActivity,Cyprus,Oil,,4,14,9,12,5,6,9,10,14,5,4
TotalTechnologyAnnualActivity,Czech Republic,Coal,,15,16,15,17,18,19,20,13,15,25,12
TotalTechnologyAnnualActivity,Czech Republic,Hydro,,1,2,3,4,5,6,7,8,9,10,11
TotalTechnologyAnnualActivity,Czech Republic,Oil,,8,6,9,7,11,10,15,13,12,16,14
TotalTechnologyAnnualActivity,Denmark,Coal,,10,8,9,12,11,17,16,18,20,23,21
TotalTechnologyAnnualActivity,Denmark,Hydro,,1,3,5,7,9,11,13,15,17,19,23
TotalTechnologyAnnualActivity,Denmark,Oil,,2,5,8,11,14,17,20,23,26,29,32
TotalTechnologyAnnualActivity,Estonia,Coal,,6,7,8,9,10,11,10,9,8,7,6
TotalTechnologyAnnualActivity,Estonia,Hydro,,20,19,18,17,16,15,14,13,12,11,10
TotalTechnologyAnnualActivity,Estonia,Oil,,18,15,17,13,14,15,12,9,10,7,11
TotalTechnologyAnnualActivity,Finland,Coal,,1,3,2,4,6,5,7,9,8,10,13
TotalTechnologyAnnualActivity,Finland,Hydro,,15,12,14,7,11,10,5,3,6,9,8
TotalTechnologyAnnualActivity,Finland,Oil,,4,6,5,7,9,8,13,12,10,15,17
TotalTechnologyAnnualActivity,France,Coal,,4,14,9,12,5,6,9,10,14,5,4
TotalTechnologyAnnualActivity,France,Hydro,,15,16,15,17,18,19,20,13,15,25,12
TotalTechnologyAnnualActivity,France,Oil,,1,2,3,4,5,6,7,8,9,10,11
TotalTechnologyAnnualActivity,Germany,Coal,,8,6,9,7,11,10,15,13,12,16,14
TotalTechnologyAnnualActivity,Germany,Hydro,,10,8,9,12,11,17,16,18,20,23,21
TotalTechnologyAnnualActivity,Germany,Oil,,1,3,5,7,9,11,13,15,17,19,23
TotalTechnologyAnnualActivity,Greece,Coal,,2,5,8,11,14,17,20,23,26,29,32
